"AthenaeusUrn","HomericTextContent","HomerUrn","AlignmentUrn"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.26@οἱ[1]-10.26@κύπελλα[1]","ἄρνε δύω καὶ οἶνον ἐύφρονα, καρπὸν ἀρούρης","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.246","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.246"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.26@οἱ[1]-10.26@κύπελλα[1]","ἀσκῷ ἐν αἰγείῳ: φέρε δὲ κρητῆρα φαεινὸν","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.247","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.247"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.26@οἱ[1]-10.26@κύπελλα[1]","κῆρυξ Ἰδαῖος ἠδὲ χρύσεια κύπελλα","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.248","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.248"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.26@καὶ[2]-10.26@ἔχευαν[1]","ἀτὰρ κήρυκες ἀγαυοὶ","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.258","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.258@ἀτὰρ[1]-3.258@ἀγαυοὶ[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.26@καὶ[2]-10.26@ἔχευαν[1]","ὅρκια πιστὰ θεῶν σύναγον, κρητῆρι δὲ οἶνον","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.259","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.259"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.26@καὶ[2]-10.26@ἔχευαν[1]","μίσγον, ἀτὰρ βασιλεῦσιν ὕδωρ ἐπὶ χεῖρας: ἔχευαν","urn:cts:greekLit:tlg0012.tlg001.ogl01:3.260","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3.260"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@φίλοινος[1]-10.42@Ἀχιλλεύς[1]","Ἀγαμέμνονος","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.224","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.224@Ἀτρεΐδην"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@φίλοινος[1]-10.42@Ἀχιλλεύς[1]","πολυπότην","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.225","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.225@οἰνοβαρές[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@φίλοινος[1]-10.42@Ἀχιλλεύς[1]","ἐπιπλήσσει ὁ Ἀχιλλεύς","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.223","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.223"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@φίλοινος[1]-10.42@Ἀχιλλεύς[1]","ἐπιπλήσσει ὁ Ἀχιλλεύς","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.223","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.224@Ἀτρεΐδην[1]-1.225@προσέειπε[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@φησὶ[1]-10.42@κλέος[1]","οὐρανοῦ ἥκειν τὸ κλέος","urn:cts:greekLit:tlg0012.tlg001.ogl01:8.192","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:8.192@κλέος[1]-8.192@ἵκει[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@φησὶ[1]-10.42@ἔμπης[1]","Νέστορα δ᾽ οὐκ ἔλαθεν ἰαχὴ πίνοντά περ ἔμπης","urn:cts:greekLit:tlg0012.tlg001.ogl01:14.1","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:14.1"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@ὁ[10]-10.42@ὅπλον[2]","Εὔμηλος","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.394","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.394@αὐτὸς[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@ὁ[10]-10.42@ὅπλον[2]","ἐπισφαλῶς καὶ ἀμυχθείς","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.394","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.394@ἐκ-23.394@ἐξεκυλίσθη[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@ὁ[10]-10.42@ὅπλον[2]","λαμβάνει θώρακα","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.560","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.560@δώσω[1]-23.3560@θώρηκα[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@ὁ[10]-10.42@ὅπλον[2]","Εὔμηλος","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.559","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.559@Εὐμήλῳ[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.42@ἀλλὰ[1]-10.42@ἀνατείνοντες[1]","λαμβάνει δῶρον","urn:cts:greekLit:tlg0012.tlg001.ogl01:23.616","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23.616@ἄεθλον[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.43@διόπερ[1]-10.43@χρόνον[1]","Ἄργος","urn:cts:greekLit:tlg0012.tlg001.ogl01:4.171","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4.171@Ἄργος[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.43@διόπερ[1]-10.43@χρόνον[1]","πολυδίψιον","urn:cts:greekLit:tlg0012.tlg001.ogl01:4.171","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4.171@πολυδίψιον[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.50@τῇ[4]-10.50@ἀντιόωσιν[1]","δυστήνων δέ τε παῖδες ἐμῷ μένει ἀντιόωσιν","urn:cts:greekLit:tlg0012.tlg001.ogl01:6.127","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6.127"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.63@καὶ[3]-10.63@τείρουσι[1]","ὦ γέρον, ἦ μάλα δή σε νέοι τείρουσι","urn:cts:greekLit:tlg0012.tlg001.ogl01:8.102","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:8.102@ὦ[1]-8.102@τείρουσι[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.66@πίομαι[1]10.66@βοτάνης[1]","πιόμεν᾽ ἐκ βοτάνης","urn:cts:greekLit:tlg0012.tlg001.ogl01:13.493","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13.493@πιόμεν᾽[1]-13.493@βοτάνης"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ταῦτα[1]-10.87@πτερόεντα[2]","ἀγχοῦ δ᾽ ἱσταμένη ἔπεα πτερόεντα προσηύδα","urn:cts:greekLit:tlg0012.tlg001.ogl01:4.92","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4.92"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ταῦτα[1]-10.87@πτερόεντα[2]","ἀλλ᾽ ἄγε νῦν μάστιγα καὶ ἡνία σιγαλόεντα","urn:cts:greekLit:tlg0012.tlg001.ogl01:5.226","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5.226"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ταῦτα[1]-10.87@πτερόεντα[2]","ἀσπίδας εὐκύκλους λαισήιά τε πτερόεντα","urn:cts:greekLit:tlg0012.tlg001.ogl01:5.453","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5.453"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@Ὁμηρικοὶ[1]-10.87@διάπλεκε[1]","εὗρε Λυκάονος υἱὸν ἀμύμονά τε κρατερόν τε","urn:cts:greekLit:tlg0012.tlg001.ogl01:4.89","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4.89"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@Ὁμήρου[1]-10.87@Ἀθήνη[1]","ἣ μὲν ἄρ᾽ ὣς εἰποῦσ᾽ ἀπέβη γλαυκῶπις Ἀθήνη","urn:cts:greekLit:tlg0012.tlg001.ogl01:5.133","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5.133"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@Ὁμηρικοὶ[1]-10.87@διάπλεκε[1]","ἐν πόλει ὑμετέρῃ, ἐπεὶ οὐκ ἄρ᾽ ἔμελλον ἔγωγε","urn:cts:greekLit:tlg0012.tlg001.ogl01:5.686","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5.686"
"urn:cts:greekLit:tlg0008.tlg001.berti:10.87@ἀπὸ[5]-10.87@καλῶς[2]","συμπάντων Δαναῶν, οὐδ᾽ ἢν Ἀγαμέμνονα εἴπῃς","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.90","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1.90"
